1;36
1;275
5;49
11;32
11;49
11;54
16;29
16;31
16;54
26;78
26;97
26;143
27;78
27;143
31;106
33;34
34;36
34;275
35;38
35;54
36;37
48;72
54;60
57;274
72;78
73;74
78;106
78;261
78;274
106;156
143;156
143;160
143;165
143;261
153;160
156;160
160;171
160;848
165;171
165;221
165;827
165;839
165;844
167;836
167;839
168;839
171;233
171;827
221;334
221;341
233;324
233;334
233;339
233;341
233;496
233;802
233;827
252;522
261;272
261;274
262;266
262;272
262;303
262;304
263;264
264;265
265;266
266;303
280;386
290;291
290;301
291;381
291;382
292;301
299;300
300;301
301;303
301;374
301;375
301;376
301;410
303;305
304;305
304;308
304;368
305;368
323;324
323;334
324;325
324;326
326;339
326;827
334;339
334;341
334;356
338;339
339;347
341;812
341;817
343;347
343;808
343;811
343;812
347;356
347;470
356;468
356;480
356;496
356;802
368;374
368;375
373;376
374;376
376;378
378;381
408;610
410;554
468;477
470;474
474;477
477;490
480;496
480;763
480;764
480;802
482;484
482;485
482;490
482;496
483;484
483;747
483;756
483;802
484;485
484;486
485;486
485;487
486;487
486;745
487;490
487;744
487;745
490;482
490;496
496;542
496;562
496;596
496;678
496;739
496;741
496;742
505;512
505;522
542;547
554;562
610;620
620;652
632;646
641;649
646;693
649;653
649;693
652;719
693;728
718;722
719;722
719;790
720;728
722;774
728;744
728;733
756;764
756;770
756;772
757;763
757;772
770;802
772;802
790;802
796;802
808;811
811;817
826;827
844;848
846;848
-1;-1
