#Number;#Prov;#Name;#Region;#Area;#Seazone;#Terrain;#Port;#Culture;#Income;#duchy;#kingdom;#muslim_duchy;#muslim_kingdom;#papal_duchy;City XPos;City YPos;Army XPos;ArmyYPos;PortXPos;Port YPos;Beach XPos;Beach YPos;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Fill coord X;Fill coord Y;;;;;;;;;;;;;;;;
0;PROV0;Terra Incognita;Scandinavia;PTI;;;0;norse;0;NONE;NONE;NONE;NONE;NONE;6011;5899;4232;5775;4736;3008;4736;3008;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;PROV1;Vestisland;Scandinavia;Iceland;869;Hills;0;norwegian;1;ICEL;NONE;NONE;NONE;NONE;176;117;258;158;318;337;188;216;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;230;253;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;PROV2;Austisland;Scandinavia;Iceland;869;Hills;0;norwegian;1;ICEL;NONE;NONE;NONE;NONE;432;106;366;115;494;246;377;218;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;427;215;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3;PROV3;Tir Connail;Britain;Eire;908;Hills;0;irish;2;ULST;IREL;NONE;NONE;NONE;1852;1447;1850;1396;1810;1377;1810;1425;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1826;1441;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
4;PROV4;Tir Eoghain;Britain;Eire;907;Hills;0;irish;3;ULST;IREL;NONE;NONE;NONE;1915;1501;1923;1442;1942;1348;1940;1401;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1940;1446;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5;PROV5;Ulaid;Britain;Eire;907;Hills;0;irish;3;ULST;IREL;NONE;NONE;NONE;2008;1495;2063;1491;2049;1430;1997;1429;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1995;1458;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6;PROV6;Finnveden;Scandinavia;Lake_Area;0;Forest;0;swedish;1;SMAL;SWED;NONE;NONE;NONE;4326;1442;4400;1462;4351;1421;4276;1395;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;4286;1463;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
7;PROV7;Sligo;Britain;Eire;908;Plains;0;irish;1;CONN;IREL;NONE;NONE;NONE;1779;1518;1819;1542;1753;1486;1831;1581;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1792;1541;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
8;PROV8;Mayo;Britain;Eire;908;Hills;4;irish;1;CONN;IREL;NONE;NONE;NONE;1708;1592;1735;1582;1649;1540;1662;1612;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1712;1575;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
9;PROV9;Galway;Britain;Eire;908;Hills;5;irish;1;CONN;IREL;NONE;NONE;NONE;1720;1675;1751;1680;1633;1653;1661;1664;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1699;1653;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
